DATETIME,DURATION,RING,CALLER,DIR,CALLED,DIALED,ACC,EXT,CALLID,CONT,P1DEV,P1NAME,P2DEV,P2NAME,,,,,,,,,,,,,,,,IP1,PORT1,IP2,PORT2
2017/08/01 07:28:53,00:01:59,3,215,O,222,222,,1,1000134,0,E215,WŁOCŁAWSKA,E222,MŁYN,0,0,,,,,,,,,,,,,,192.168.0.201,1487,192.168.0.201,1489
2017/08/01 07:50:51,00:00:48,8,222,O,211,211,,1,1000136,0,E222,MŁYN,E211,OSIEK,0,0,,,,,,,,,,,,,,192.168.0.201,1493,192.168.0.201,1495
2017/08/01 08:04:25,00:00:40,3,211,O,222,222,,1,1000137,0,E211,OSIEK,E222,MŁYN,0,0,,,,,,,,,,,,,,192.168.0.201,1496,192.168.0.201,1498
2017/08/01 08:10:14,00:01:03,5,215,O,222,222,,1,1000139,0,E215,WŁOCŁAWSKA,E222,MŁYN,0,0,,,,,,,,,,,,,,192.168.0.201,1501,192.168.0.201,1503
2017/08/01 08:15:21,00:01:11,10,222,O,211,211,,1,1000140,0,E222,MŁYN,E211,OSIEK,0,0,,,,,,,,,,,,,,192.168.0.201,1504,192.168.0.201,1506
2017/08/01 08:18:59,00:00:00,17,222,O,213,213,,1,1000142,0,E222,MŁYN,E213,TURZNO,0,0,,,,,,,,,,,,,,192.168.0.201,1509,192.168.0.201,1511
2017/08/01 08:25:39,00:01:41,13,222,O,215,215,,1,1000143,0,E222,MŁYN,E215,WŁOCŁAWSKA,0,0,,,,,,,,,,,,,,192.168.0.201,1512,192.168.0.201,1514
2017/08/01 08:27:32,00:01:15,12,222,O,211,211,,1,1000144,0,E222,MŁYN,E211,OSIEK,0,0,,,,,,,,,,,,,,192.168.0.201,1515,192.168.0.201,1517
2017/08/01 08:29:10,00:00:00,26,222,O,213,213,,1,1000146,0,E222,MŁYN,E213,TURZNO,0,0,,,,,,,,,,,,,,192.168.0.201,1520,192.168.0.201,1522
2017/08/01 08:38:12,00:01:12,4,214,O,222,222,,1,1000147,0,E214,BOBOLI,E222,MŁYN,0,0,,,,,,,,,,,,,,192.168.0.201,1523,192.168.0.201,1525
2017/08/01 08:39:37,00:00:00,35,222,O,213,213,,1,1000148,0,E222,MŁYN,E213,TURZNO,0,0,,,,,,,,,,,,,,192.168.0.201,1526,192.168.0.201,1528
2017/08/01 08:57:21,00:04:57,5,212,O,222,222,,1,1000149,0,E212,GRABOWA,E222,MŁYN,0,0,,,,,,,,,,,,,,192.168.0.201,1530,192.168.0.201,1532
2017/08/01 09:02:25,00:00:00,7,222,O,213,213,,1,1000151,0,E222,MŁYN,E213,TURZNO,0,0,,,,,,,,,,,,,,192.168.0.201,1535,192.168.0.201,1537
2017/08/01 09:02:39,00:03:34,4,222,O,213,213,,1,1000152,0,E222,MŁYN,E213,TURZNO,0,0,,,,,,,,,,,,,,192.168.0.201,1538,192.168.0.201,1540
2017/08/01 09:15:17,00:00:09,0,222,O,608966,0608966,,0,1000153,0,E222,MŁYN,T9005,Line 5.0,0,0,,,,,,,,,,,U,MŁYN,,192.168.0.201,1541,192.168.0.201,1544
2017/08/01 09:15:41,00:01:35,0,222,O,608966000,0608966000,,0,1000154,0,E222,MŁYN,T9005,Line 5.0,0,0,,,,,,,,,,,U,MŁYN,,192.168.0.201,1545,192.168.0.201,1548
2017/08/01 09:17:44,00:01:55,0,222,O,608966000,0608966000,,0,1000155,0,E222,MŁYN,T9005,Line 5.0,0,0,,,,,,,,,,,U,MŁYN,,192.168.0.201,1549,192.168.0.201,1552
2017/08/01 09:20:48,00:01:16,7,222,O,213,213,,1,1000156,0,E222,MŁYN,E213,TURZNO,0,0,,,,,,,,,,,,,,192.168.0.201,1553,192.168.0.201,1555
2017/08/01 09:22:43,00:00:00,27,222,O,211,211,,1,1000157,0,E222,MŁYN,E211,OSIEK,0,0,,,,,,,,,,,,,,192.168.0.201,1556,192.168.0.201,1558
2017/08/01 09:23:10,00:00:14,4,222,O,215,215,,1,1000158,0,E222,MŁYN,E215,WŁOCŁAWSKA,0,0,,,,,,,,,,,,,,192.168.0.201,1559,192.168.0.201,1561
2017/08/01 09:33:31,00:00:01,20,222,O,211,211,,1,1000159,0,E222,MŁYN,E211,OSIEK,0,0,,,,,,,,,,,,,,192.168.0.201,1562,192.168.0.201,1564
2017/08/01 09:36:20,00:00:00,0,214,O,211,211,,1,1000162,0,E214,BOBOLI,V8000,U1 0.0,0,0,,,,,,,,,,,,,,192.168.0.201,1570,0.0.0.0,0
2017/08/01 09:33:58,00:02:35,3,211,O,222,222,,1,1000161,0,E211,OSIEK,E222,MŁYN,0,0,,,,,,,,,,,,,,192.168.0.201,1567,192.168.0.201,1569
2017/08/01 09:37:07,00:04:45,3,211,O,222,222,,1,1000163,0,E211,OSIEK,E222,MŁYN,0,0,,,,,,,,,,,,,,192.168.0.201,1572,192.168.0.201,1574
2017/08/01 09:47:27,00:00:32,30,222,O,217,217,,1,1000164,0,E222,MŁYN,E217,GRZYBEK,0,0,,,,,,,,,,,,,,192.168.0.201,1576,192.168.0.201,1578
2017/08/01 09:52:06,00:00:49,7,222,O,211,211,,1,1000165,0,E222,MŁYN,E211,OSIEK,0,0,,,,,,,,,,,,,,192.168.0.201,1579,192.168.0.201,1581
